,Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Dist_St1,Dist_St2,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,day,doy,week,month,year,yearweek,Tvaglag1,Tvaglag2,Tvaglag3,Tvaglag4,PTotallag1,PTotallag2,PTotallag3,PTotallag4,Tavg_weekly,PrecipTotal_Weekly
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,1.0,0.0,11.7974,19.1911,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,1.0,0.0,11.7974,19.1911,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
2,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62.0, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9.0,1.0,0.0,13.53,23.2827,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
3,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79.0, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8.0,1.0,0.0,9.2395,21.7659,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
4,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79.0, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8.0,4.0,0.0,9.2395,21.7659,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
5,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65.0, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8.0,1.0,0.0,11.3649,23.9719,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
6,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75.0, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,8.0,1.0,0.0,20.4153,26.2772,1,88,60,74.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,18,6.5,29,149,22,5,2007,2029,65.0,66.0,71.0,69.0,0.001,0.04,0.0,0.38,76.16,0.0
7,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,3.0,0.0,11.7974,19.1911,1,64,47,56.0,48,51.0,9.0,0.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,5,156,23,6,2007,2030,65.0,70.0,74.0,71.0,0.39,0.01,0.0,0.0,56.583333333333336,19.95
8,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,5.0,0.0,11.7974,19.1911,1,64,47,56.0,48,51.0,9.0,0.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,5,156,23,6,2007,2030,65.0,70.0,74.0,71.0,0.39,0.01,0.0,0.0,56.583333333333336,19.95
9,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,1.0,0.0,11.7974,19.1911,1,64,47,56.0,48,51.0,9.0,0.0,417,1923,0.42,29.1,29.79,5.2,5,7.6,5,156,23,6,2007,2030,65.0,70.0,74.0,71.0,0.39,0.01,0.0,0.0,56.583333333333336,19.95
