step,amount,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER
189,58661.89,0,0,1,0,0,0
178,115115.39,0,0,1,0,0,0
259,6161.67,0,0,0,0,1,0
380,72719.13,0,0,1,0,0,0
308,17080.99,0,0,0,0,1,0
138,107382.65,0,0,1,0,0,0
163,3344.89,0,0,0,0,1,0
357,24312.0,0,0,0,0,1,0
229,41921.43,0,0,0,0,1,0
178,303553.56,0,0,1,0,0,0
356,208423.1,0,0,1,0,0,0
94,16755.13,0,0,0,0,1,0
380,165730.58,0,0,1,0,0,0
326,149173.83,0,1,0,0,0,0
165,95007.52,0,1,0,0,0,0
44,821799.49,0,0,0,0,0,1
331,1047.19,0,0,0,0,1,0
180,458508.68,0,0,1,0,0,0
397,237824.58,0,1,0,0,0,0
347,308419.46,0,0,1,0,0,0
274,58080.37,0,0,1,0,0,0
130,55749.36,0,0,1,0,0,0
354,231162.3,0,0,1,0,0,0
179,8216.59,0,1,0,0,0,0
353,126607.93,0,1,0,0,0,0
44,1062.81,0,0,0,0,1,0
356,89538.19,0,0,1,0,0,0
332,206315.06,0,0,0,0,0,1
14,16374.19,0,0,0,0,1,0
17,231832.78,0,0,1,0,0,0
228,657903.77,0,0,1,0,0,0
179,236538.63,0,0,1,0,0,0
709,14788.78,0,0,0,0,1,0
136,8364.03,0,0,0,0,1,0
137,38084.7,0,0,1,0,0,0
395,83195.41,0,0,1,0,0,0
358,8687.55,0,0,0,0,1,0
229,20377.05,0,0,0,0,1,0
592,44000.19,0,1,0,0,0,0
686,163928.58,0,0,0,0,0,1
305,16788.61,0,0,0,0,1,0
305,187839.6,0,1,0,0,0,0
44,305733.12,0,0,1,0,0,0
242,11015.23,0,0,0,0,1,0
155,29701.93,0,0,0,0,1,0
187,8588.24,0,0,0,0,1,0
307,312908.78,0,1,0,0,0,0
185,151640.79,0,0,1,0,0,0
139,6786.83,0,0,0,0,1,0
303,299789.78,0,1,0,0,0,0
370,2981945.54,0,0,0,0,0,1
256,147224.76,0,0,1,0,0,0
328,241279.55,0,1,0,0,0,0
282,301236.72,0,0,1,0,0,0
186,448049.15,0,0,0,0,0,1
282,269081.88,0,0,1,0,0,0
403,240807.37,0,0,1,0,0,0
37,9049.18,0,0,0,0,1,0
229,320034.34,0,1,0,0,0,0
383,3988.6,0,0,0,0,1,0
184,198026.2,0,0,1,0,0,0
140,87462.27,0,0,1,0,0,0
17,154450.38,0,1,0,0,0,0
211,4015.56,0,0,0,0,1,0
309,21793.84,0,0,0,0,1,0
211,76200.31,0,0,1,0,0,0
346,3685.07,0,0,0,0,1,0
522,146908.33,0,1,0,0,0,0
284,260015.45,0,0,0,0,0,1
402,29586.34,0,0,0,0,1,0
324,374320.9,0,1,0,0,0,0
301,372606.28,0,1,0,0,0,0
402,178170.03,0,0,1,0,0,0
202,1255.28,0,0,0,0,1,0
21,9516.1,0,1,0,0,0,0
208,764.6,0,0,0,0,1,0
259,158512.02,0,0,1,0,0,0
308,164640.1,0,0,1,0,0,0
180,394601.72,0,1,0,0,0,0
372,247104.19,0,0,1,0,0,0
379,31052.39,0,0,0,0,1,0
180,535059.62,0,0,0,0,0,1
164,112368.46,0,0,1,0,0,0
42,3505.68,0,0,1,0,0,0
249,723938.07,0,0,0,0,0,1
305,228868.22,0,0,1,0,0,0
129,124545.68,0,1,0,0,0,0
205,10853.53,0,0,0,0,1,0
357,9175.82,0,0,0,1,0,0
162,376128.15,0,0,1,0,0,0
548,49010.26,0,0,1,0,0,0
230,144725.18,0,0,1,0,0,0
333,248744.75,0,1,0,0,0,0
44,9609.46,0,0,0,0,1,0
264,3169.21,0,0,0,0,1,0
136,80931.62,0,0,1,0,0,0
257,32189.59,0,0,0,0,1,0
153,420838.37,0,0,1,0,0,0
563,382385.3,0,0,0,0,0,1
186,58248.44,0,1,0,0,0,0
186,2486.48,0,0,0,0,1,0
404,6050.02,0,0,0,0,1,0
